Rec no.,TA ID,Year of Publication,Process,Technology,Technology type,Indication,Categorisation (for specific recommendation),Comment
476,TA251,2012/13,MTA,Nilotinib,Pharmaceutical,Treatment of chronic phase Philadelphia-chromosome-positive chronic myeloid leukaemia ,Recommended,Recommended in line with marketing authorisation and following agreement of PAS.
477,TA251,2012/13,MTA,Dasatinib,Pharmaceutical,Treatment of chronic phase Philadelphia-chromosome-positive chronic myeloid leukaemia ,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available"
481,TA255,2012/13,STA,Cabazitaxel in combination with prednisone or prednisolone,Pharmaceutical,Treatment of hormone refractory metastatic prostate cancer previously treated with a docetaxel-containing regimen,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
483,TA257,2012/13,MTA,Lapatinib in combination with an aromatase inhibitor (1st line),Pharmaceutical,Treatment of postmenopausal women with metastatic hormone receptor-positive breast cancer that overexpresses HER2.,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
484,TA257,2012/13,MTA,Trastuzumab in combination with an aromatase inhibitor (1st line),Pharmaceutical,Treatment of postmenopausal women with metastatic hormone receptor-positive breast cancer that overexpresses HER2.,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
485,TA258,2012/13,STA,Erlotinib (1st line),Pharmaceutical,Treatment of locally advanced or metastatic EGFR-TK mutation-positive non-small cell lung cancer,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
486,TA259,2012/13,STA,Abiraterone in combination with prednisolone or prednisone (2nd line),Pharmaceutical,Treatment of castration-resistant metastatic prostate cancer previously treated with one docetaxel-containing regimen,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
490,TA263,2012/13,STA,Bevacizumab in combination with capecitabine (1st line),Pharmaceutical,First-line treatment of metastatic breast cancer,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
492,TA265,2012/13,MTA,Denosumab,Pharmaceutical,Prevention of skeletal-related events in adults with bone metastases from breast cancer and from solid tumours other than prostate,Recommended,Recommended in line with clinical practice following agreement of patient access scheme.
493,TA265,2012/13,MTA,Denosumab,Pharmaceutical,Prevention of skeletal-related events in adults with bone metastases from prostate cancer,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available despite agreement of a patient access scheme."
496,TA268,2012/13,STA,Ipilimumab,Pharmaceutical,Previously treated advanced (unresectable or metastatic) melanoma  ,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
497,TA269,2012/13,STA,Vemurafenib,Pharmaceutical,Locally advanced or metastatic BRAF V600 mutation-positive malignant melanoma  ,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
498,TA270,2012/13,STA,Decitabine,Pharmaceutical,Acute myeloid leukaemia ,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
500,TA272,2012/13,STA,Vinflunine,Pharmaceutical,"Treatment of advanced or metastatic transitional cell carcinoma of the urothelial tract, after failure of a prior platinum containing regimen",Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
515,TA284,2013/14,STA,Bevacizumab in combination with paclitaxel and carboplatin,Pharmaceutical,Advanced ovarian cancer (1st line),Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
516,TA285,2013/14,STA,Bevacizumab in combination with gemcitabine and carboplatin,Pharmaceutical,First recurrence of platinum-sensitive advanced ovarian cancer,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
522,TA289,2013/14,STA,Ruxolitinib,Pharmaceutical,Disease-related splenomegaly or symptoms in adults with myelofibrosis,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
528,TA295,2013/14,STA,Everolimus in combination with exemestane,Pharmaceutical,Advanced HER2-negative hormone-receptor-positive breast cancer after endocrine therapy,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
529,TA296,2013/14,STA,Crizotinib,Pharmaceutical,Previously treated non-small-cell lung cancer associated with an anaplastic lymphoma kinase fusion gene,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
532,TA299,2013/14,STA,Bosutinib,Pharmaceutical,Previously treated chronic myeloid leukaemia,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available. Guidance has been replaced."
540,TA306,2013/14,STA,Pixantrone monotherapy,Pharmaceutical,Multiply relapsed or refractory aggressive non-Hodgkin's B-cell lymphoma,Optimised,Optimised recommendation for treating adults with multiply relapsed or refractory aggressive non-Hodgkin's B‑cell lymphoma only if: the person has previously been treated with rituximab and the person is receiving third- or fourth-line treatment and the manufacturer provides pixantrone with the discount agreed in the patient access scheme.
541,TA307,2013/14,STA,Aflibercept in combination with irinotecan and fluorouracil-based therapy,Pharmaceutical,Metastatic colorectal cancer that has progressed following prior oxaliplatin-based chemotherapy,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
543,TA309,2014/15,STA,Pemetrexed,Pharmaceutical,Maintenance treatment following induction therapy with pemetrexed and cisplatin for non-squamous non-small-cell lung cancer,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
544,TA310,2014/15,STA,Afatinib,Pharmaceutical,Epidermal growth factor receptor mutation-positive locally advanced or metastatic non-small-cell lung cancer,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
545,TA311,2014/15,STA,"Bortezomib in combination with dexamethasone, or with dexamethasone and thalidomide",Pharmaceutical,For induction therapy in multiple myeloma before high-dose chemotherapy and autologous stem cell transplantation,Recommended,Recommended in line with marketing authorisation.
553,TA316,2014/15,STA,Enzalutamide,Pharmaceutical,Metastatic hormone-relapsed prostate cancer,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
556,TA319,2014/15,STA,Ipilimumab,Pharmaceutical,Previously untreated advanced (unresectable or metastatic) melanoma,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
558,TA321,2014/15,STA,Dabrafenib,Pharmaceutical,Unresectable or metastatic BRAF V600 mutation‑positive melanoma,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
559,TA322,2014/15,STA,Lenalidomide,Pharmaceutical,Myelodysplastic syndromes associated with an isolated deletion 5q cytogenetic abnormality,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
560,TA323,2014/15,MTA,"Erythropoiesis-stimulating agents (epoetin alfa, beta, theta and zeta, and darbepoetin alfa)",Pharmaceutical,Treating anaemia in people with cancer having chemotherapy ,Recommended,Recommended in line with marketing authorisation
563,TA326,2014/15,STA,Imatinib,Pharmaceutical,Adjuvant treatment of gastrointestinal stromal tumours ,Recommended,Recommended in line with clinical practice
565,TA328,2014/15,STA,Idelalisib,Pharmaceutical,follicular lymphoma that is refractory to 2 prior treatments,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
571,TA332,2014/15,STA,Sipuleucel-T,Pharmaceutical,Treating asymptomatic or minimally symptomatic metastatic hormone-replased prostate cancer,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available.  This guidance has been withdrawn after publication, because the marketing authorisation for sipuleucel-T was withdrawn on 19 May 2015."
572,TA333,2014/15,STA,Axitinib,Pharmaceutical,treating advanced renal cell carcinoma after failure of prior systemic treatment,Recommended,Recommended in line with clinical practice and following agreement of patient access scheme.
573,TA334,2014/15,STA,Regorafenib,Pharmaceutical,Metastatic colorectal cancer after treatment for metastatic disease,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
579,TA338,2014/15,STA,Pomalidomide in combination with dexamethasone,Pharmaceutical,Relapsed and refractory multiple myeloma previously treated with lenalidomide and bortezomib,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
584,TA343,2015/16,STA,Obinutuzumab in combination with chlorambucil,Pharmaceutical,Untreated chronic lymphocytic leukaemia,Optimised,"Optimised recommendation for obinutuzumab in combination with chlorambucil as an option for adults with untreated chronic lymphocytic leukaemia who have comorbidities that make full‑dose fludarabine‑based therapy unsuitable for them, only if: bendamustine‑based therapy is not suitable 

and the company provides obinutuzumab with the discount agreed in the patient access scheme.
"
585,TA344,2015/16,STA,Ofatumumab in combination with chlorambucil,Pharmaceutical,Untreated chronic lymphocytic leukaemia,Recommended,Recommended in line with clinical practice and following agreement of patient access scheme.
588,TA347,2015/16,STA,Nintedanib in combination with docetaxel ,Pharmaceutical,"Locally advanced, metastatic, or locally recurrent non‑small‑cell lung cancer",Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
594,TA353,2015/16,STA,Bevacizumab,Pharmaceutical,"Treating relapsed, platinum‑resistant epithelial ovarian, fallopian tube or primary peritoneal cancer",Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
598,TA357,2015/16,STA,Pembrolizumab,Pharmaceutical,Treating advanced melanoma after disease progression with ipilimumab,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
600,TA359,2015/16,STA,Idelalisib in combination with rituximab,Pharmaceutical,Treating chronic lymphocytic leukaemia,Recommended,Recommended in line with clinical practice and following agreement of patient access scheme. Note: no evidence presented for population not recommended.
601,TA360,2015/16,STA,Paclitaxel as albumin‑bound nanoparticles in combination with gemcitabine,Pharmaceutical,Previously untreated metastatic pancreatic cancer,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
603,TA362,2015/16,STA,Paclitaxel as albumin-bound nanoparticles with carboplatin,Pharmaceutical,Untreated non-small-cell lung cancer,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
611,TA366,2015/16,STA,Pembrolizumab,Pharmaceutical,Advanced melanoma not previously treated with ipilimumab,Recommended,"Recommended in line with marketing authorisation and following agreement of patient access scheme. Note: The MA was appraised across 2 separate appraisals, both recommended (see TA357)."
615,TA370,2015/16,STA,Bortezomib,Pharmaceutical,Previously untreated mantle cell lymphoma,Recommended,Recommended in line with marketing authorisation
616,TA371,2015/16,STA,Trastuzumab emtansine,Pharmaceutical,"Treating HER2-positive, unresectable locally advanced or metastatic breast cancer after treatment with trastuzumab and a taxane",Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
622,TA374,2015/16,MTA,Erlotinib,Pharmaceutical,Treating non-small-cell lung cancer that has progressed after prior chemotherapy,Optimised,"Optimised recommendation for erlotinib, only if the company provides erlotinib with the discount agreed in the patient access scheme revised in the context of NICE technology appraisal guidance 258: Erlotinib is recommended as an option for treating locally advanced or metastatic non‑small‑cell lung cancer that has progressed in people who have had non‑targeted chemotherapy because of delayed confirmation that their tumour is epidermal growth factor receptor tyrosine kinase (EGFR‑TK) mutation‑positive. Erlotinib is recommended as an option for treating locally advanced or metastatic non‑small‑cell lung cancer that has progressed after non‑targeted chemotherapy in people with tumours of unknown EGFR‑TK mutation status, only if: the result of an EGFR‑TK mutation diagnostic test is unobtainable because of an inadequate tissue sample or poor‑quality DNA and the treating clinician considers that the tumour is very likely to be EGFR‑TK mutation‑positive and the person's disease responds to the first 2 cycles of treatment with erlotinib. Erlotinib is not recommended for treating locally advanced or metastatic non‑small‑cell lung cancer that has progressed after non‑targeted chemotherapy in people with tumours that are EGFR‑TK mutation‑negative."
623,TA374,2015/16,MTA,Gefitinib,Pharmaceutical,Treating non-small-cell lung cancer that has progressed after prior chemotherapy,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
631,TA376,2015/16,STA,Radium-223 dichloride,Pharmaceutical,Treating hormone-relapsed prostate cancer with bone metastases,Optimised,"Optimised recommendation for Radium‑223 dichloride as an option for treating adults with hormone‑relapsed prostate cancer, symptomatic bone metastases and no known visceral metastases, only if:

• they have had treatment with docetaxel, and 

• the company provides radium‑223 dichloride with the discount agreed in the patient access scheme."
632,TA377,2015/16,STA,Enzalutamide,Pharmaceutical,Treating metastatic hormone-relapsed prostate cancer before chemotherapy is indicated,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
633,TA378,2015/16,STA,Ramucirumab alone or with paclitaxel,Pharmaceutical,Treating advanced gastric cancer or gastro–oesophageal junction adenocarcinoma previously treated with chemotherapy,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
635,TA380,2015/16,STA,Panobinostat in combination with bortezomib and dexamethasone,Pharmaceutical,Treating multiple myeloma after at least 2 previous treatments,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
636,TA381,2015/16,STA,Olaparib,Pharmaceutical,"Treatment of relapsed, platinum-sensitive, BRCA mutation-positive ovarian, fallopian tube and peritoneal cancer after response to second-line or subsequent platinum-based chemotherapy",Optimised,"Optimised recommendation for olaparib as an option for treating adults with relapsed, platinum‑sensitive ovarian, fallopian tube or peritoneal cancer who have BRCA1 or BRCA2 mutations and whose disease has responded to platinum‑based chemotherapy only if:
they have had 3 or more courses of platinum-based chemotherapy and the drug cost of olaparib for people who remain on treatment after 15 months will be met by the company."
643,TA384,2015/16,STA,Nivolumab,Pharmaceutical,Advanced (unresectable or metastatic) melanoma,Recommended,Recommended in line with marketing authorisation.
646,TA386,2015/16,STA,Ruxolitinib,Pharmaceutical,Treating disease-related splenomegaly or symptoms in adults with myelofibrosis,Optimised,"Optimised recommendation for ruxolitinib for treating disease-related splenomegaly or symptoms in adults with primary myelofibrosis (also known as chronic idiopathic myelofibrosis), post polycythaemia vera myelofibrosis or post essential thrombocythaemia myelofibrosis, only:
•in people with intermediate‑2 or high-risk disease, and
•if the company provides ruxolitinib with the discount agreed in the patient access scheme."
647,TA387,2016/17,STA,Abiraterone in combination with prednisone or prednisolone,Pharmaceutical,Treating metastatic hormone-relapsed prostate cancer before chemotherapy,Recommended,"Recommended in line with the marketing authorisation, only if the company rebates the drug cost of abiraterone from the 11th month until the end of treatment for people who remain on treatment for more than 10 months."
649,TA389,2016/17,MTA,Paclitaxel in combination with platinum or as monotherapy,Pharmaceutical,Treating recurrent ovarian cancer,Recommended,Recommended in line with marketing authorisation.
650,TA389,2016/17,MTA,Pegylated liposomal doxorubicin hydrochloride (PLDH) monotherapy,Pharmaceutical,Treating recurrent ovarian cancer,Recommended,Recommended in line with marketing authorisation.
651,TA389,2016/17,MTA,PLDH in combination with platinum,Pharmaceutical,Treating recurrent ovarian cancer,Recommended,Recommended in line with clinical practice. The use of PLDH (Caelyx) in combination with platinum is outside the terms of the marketing authorisation. Consequently the statutory funding requirement does not apply to this recommendation.
652,TA389,2016/17,MTA,Gemcitabine in combination with carboplatin ,Pharmaceutical,Treating recurrent ovarian cancer,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
653,TA389,2016/17,MTA,Trabectedin in combination with PLDH,Pharmaceutical,Treating recurrent ovarian cancer,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
654,TA389,2016/17,MTA,Topotecan,Pharmaceutical,Treating recurrent ovarian cancer,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
658,TA391,2016/17,STA,Cabazitaxel in combination with prednisone or prednisolone,Pharmaceutical,Treating hormone-relapsed metastatic prostate cancer treated with docetaxel,Recommended,Recommended in line with clinical practice and following agreement of patient access scheme.
662,TA395,2016/17,STA,Ceritinib,Pharmaceutical,Previously treated anaplastic lymphoma kinase positive non-small-cell lung cancer,Recommended,Recommended in line with marketing authorisation
663,TA396,2016/17,STA,Trametinib in combination with dabrafenib,Pharmaceutical,Treating unresectable or metastatic melanoma,Recommended,Recommended in line with marketing authorisation
666,TA399,2016/17,STA,Azacitidine,Pharmaceutical,Treating acute myeloid leukaemia with more than 30% bone marrow blasts,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
667,TA400,2016/17,STA,Nivolumab in combination with ipilimumab,Pharmaceutical,Treating advanced melanoma,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
668,TA401,2016/17,STA,Bosutinib,Pharmaceutical,Previously treated chronic myeloid leukaemia,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
669,TA402,2016/17,STA,Pemetrexed,Pharmaceutical,Non-squamous non-small-cell lung cancer after pemetrexed and cisplatin,Recommended,Recommended in line with marketing authorisation and following agreement of a commercial access agreement.
670,TA403,2016/17,STA,Ramucirumab in combination with docetaxel,Pharmaceutical,Previously treated locally advanced or metastatic non-small-cell lung cancer,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
671,TA404,2016/17,STA,Degarelix,Pharmaceutical,Advanced hormone-dependent prostate cancer,Optimised,"Optimised recommendation for degarelix as an option for treating advanced hormone-dependent prostate cancer in people with spinal metastases, only if the commissioner can achieve at least the same discounted drug cost as that available to the NHS in June 2016."
672,TA405,2016/17,STA,Trifluridine–tipiracil,Pharmaceutical,Previously treated metastatic colorectal cancer,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
673,TA406,2016/17,STA,Crizotinib,Pharmaceutical,Untreated anaplastic lymphoma kinase-positive advanced non-small-cell lung cancer,Recommended,Recommended in line with marketing authorisation and following agreement of a commercial access agreement.
675,TA408,2016/17,STA,"Pegaspargase, as part of antineoplastic combination therapy",Pharmaceutical,Treating acute lymphoblastic leukaemia,Optimised,"Optimised recommendation for pegaspargase, as part of antineoplastic combination therapy, ias an option for treating acute lymphoblastic leukaemia in children, young people and adults only when they have untreated newly diagnosed disease."
677,TA410,2016/17,STA,Talimogene laherparepvec,Pharmaceutical,Treating unresectable metastatic melanoma,Optimised,"Optimised recommendation for talimogene laherparepvec an option for treating unresectable, regionally or distantly metastatic (Stage IIIB, IIIC or IVM1a) melanoma that has not spread to bone, brain, lung or other internal organs, only if:
·         treatment with systemically administered immunotherapies is not suitable and
·         the company provides talimogene laherparepvec with the discount agreed in the patient access scheme."
678,TA411,2016/17,STA,"Necitumumab, in combination with gemcitabine and cisplatin",Pharmaceutical,Untreated advanced or metastatic squamous non-small-cell lung cancer ,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
679,TA412,2016/17,STA,Radium‑223 dichloride,Pharmaceutical,Treating hormone-relapsed prostate cancer with bone metastases,Optimised,"Optimised recommendation for radium‑223 dichloride as an option for treating hormone-relapsed prostate cancer, symptomatic bone metastases and no known visceral metastases in adults, only if:
they have already had docetaxel or
docetaxel is contraindicated or is not suitable for them.
The drug is only recommended if the company provides radium‑223 dichloride with the discount agreed in the patient access scheme. "
681,TA414,2016/17,STA,Cobimetinib in combination with vemurafenib,Pharmaceutical,Unresectable or metastatic BRAF V600 mutation-positive melanoma,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
684,TA416,2016/17,STA,Osimertinib,Pharmaceutical,Locally advanced or metastatic EGFR T790M mutation-positive non-small-cell lung cancer,Recommended (CDF),Recommended in line with clinical practice for use within the Cancer Drugs fund only if the conditions in the managed access agreement for osimertinib are followed.
685,TA417,2016/17,STA,Nivolumab,Pharmaceutical,Previously treated advanced renal cell carcinoma,Recommended,Recommended in line with marketing authorisation and following agreement of a commercial access agreement.
689,TA421,2016/17,STA,Everolimus in combination with exemestane,Pharmaceutical,Treating advanced breast cancer after endocrine therapy,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
690,TA422,2016/17,STA,Crizotinib,Pharmaceutical,Previously treated anaplastic lymphoma kinase-positive advanced non-small-cell lung cancer,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
691,TA423,2016/17,STA,Eribulin,Pharmaceutical,Treating locally advanced or metastatic breast cancer after 2 or more chemotherapy regimens,Optimised,"Optimised recommendation for eribulin as an option for treating locally advanced or metastatic breast cancer in adults, only when:
•it has progressed after at least 2 chemotherapy regimens (which may include an anthracycline or a taxane, and capecitabine)
•the company provides eribulin with the discount agreed in the patient access scheme."
692,TA424,2016/17,STA,Pertuzumab in combination with trastuzumab and chemotherapy,Pharmaceutical,Neoadjuvant treatment of HER2-positive breast cancer,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
693,TA425,2016/17,STA,Dasitinib,Pharmaceutical,Treating imatinib-resistant or intolerant chronic myeloid leukaemia,Optimised,"Optimised recommendation for dasatinib as an option for treating only chronic- or accelerated-phase Philadelphia-chromosome-positive chronic myeloid leukaemia in adults, if:
• they cannot have imatinib, or their disease is imatinib-resistant and
•the companies provide the drugs with the discounts agreed in the relevant patient access schemes."
694,TA425,2016/17,STA,Nilotinib,Pharmaceutical,Treating imatinib-resistant or intolerant chronic myeloid leukaemia,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
695,TA425,2016/17,STA,High-dose imatinib,Pharmaceutical,Treating imatinib-resistant or intolerant chronic myeloid leukaemia,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
696,TA426,2016/17,STA,Dasatinib,Pharmaceutical,Untreated chronic myeloid leukaemia,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
697,TA426,2016/17,STA,Nilotinib,Pharmaceutical,Untreated chronic myeloid leukaemia,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
698,TA426,2016/17,STA,Imatinib,Pharmaceutical,Untreated chronic myeloid leukaemia,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
699,TA427,2016/17,STA,"Pomalidomide, in combination with low‑dose dexamethasone",Pharmaceutical,Multiple myeloma previously treated with lenalidomide and bortezomib,Recommended,Recommended in line with clinical practice and following agreement of a patient access scheme.
700,TA428,2016/17,STA,Pembrolizumab,Pharmaceutical,PD-L1-positive non-small-cell lung cancer after chemotherapy,Optimised,"Optimised recommendation for pempbrolizumab for treating locally advanced or metastatic PD‑L1‑positive non‑small‑cell lung cancer in adults who have had at least one chemotherapy (and targeted treatment if they have an epidermal growth factor receptor [EGFR]- or anaplastic lymphoma kinase [ALK]‑positive tumour), only if:
• pembrolizumab is stopped at 2 years of uninterrupted treatment and no documented disease progression, and
• the company provides pembrolizumab with the discount agreed in the patient access scheme revised in the context of this appraisal."
701,TA429,2016/17,STA,Ibrutinib alone,Pharmaceutical,Previously treated chronic lymphocytic leukaemia and untreated chronic lymphocytic leukaemia with 17p deletion or TP53 mutation,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
704,TA432,2016/17,STA,Everolimus,Pharmaceutical,Advanced renal cell carcinoma after previous treatment,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
706,TA434,2016/17,STA,Elotuzumab,Pharmaceutical,Previously treated multiple myeloma,Terminated Appraisal - non submission,The single technology appraisal process is based on the company’s submission. In the absence of a submission from the company the appraisal was terminated and a recommendation could not be made.
708,TA436,2016/17,STA,Bevacizumab,Pharmaceutical,EGFR mutation-positive non-small-cell lung cancer,Terminated Appraisal - non submission,The single technology appraisal process is based on the company’s submission. In the absence of a submission from the company the appraisal was terminated and a recommendation could not be made.
709,TA437,2016/17,STA,Ibrutinib with bendamustine and rituximab,Pharmaceutical,Relapsed or refractory chronic lymphocytic leukaemia after systemic therapy ,Terminated Appraisal - non submission,The single technology appraisal process is based on the company’s submission. In the absence of a submission from the company the appraisal was terminated and a recommendation could not be made.
710,TA438,2016/17,STA,Alectinib,Pharmaceutical,Previously treated anaplastic lymphoma kinase-positive advanced non-small-cell lung cancer,Terminated Appraisal - non submission,The single technology appraisal process is based on the company’s submission. In the absence of a submission from the company the appraisal was terminated and a recommendation could not be made.
711,TA439,2016/17,MTA,Cetuximab,Pharmaceutical,Previously untreated metastatic colorectal cancer,Recommended,Recommended in line with marketing authorisation.
712,TA439,2016/17,MTA,Panitumumab,Pharmaceutical,Previously untreated metastatic colorectal cancer,Recommended,Recommended in line with marketing authorisation.
713,TA440,2017/18,STA,Pegylated liposomal irinotecan in combination with 5‑fluorouracil and leucovorin,Pharmaceutical,Pancreatic cancer after gemcitabine,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
717,TA444,2017/18,STA,Afatinib,Pharmaceutical,Advanced squamous non-small-cell lung cancer after platinum-based chemotherapy,Terminated appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
720,TA446,2017/18,STA,Brentuximab vedotin,Pharmaceutical,CD30-positive Hodgkin lymphoma after autologous stem cell transplant,Optimised,"Optimised recommendation for brentuximab vedotin as an option for treating CD30‑positive Hodgkin lymphoma in adults, only if:
•they have relapsed or refractory disease after autologous stem cell transplant and
•the company provides brentuximab vedotin at the price agreed with NHS England in the commercial access agreement."
721,TA446,2017/18,STA,Brentuximab vedotin,Pharmaceutical,CD30-positive Hodgkin lymphoma after at least 2 prior therapies when autologous stem cell transplant or multi-agent chemotherapy is not a treatment option,Optimised (CDF),"Optimised recommendation for brentuximab vedotin for use within the Cancer Drugs Fund, as an option for treating CD30‑positive Hodgkin lymphoma in adults, only if:

•they have relapsed or refractory disease after at least 2 previous therapies and 

•they cannot have autologous stem cell transplant or multi-agent chemotherapy and

•the conditions of the managed access agreement are followed."
722,TA447,2017/18,STA,Pembrolizumab,Pharmaceutical,Untreated PD-L1-positive metastatic non-small-cell lung cancer,Optimised (CDF),"Optimised recommendation for pembrolizumab for use within the Cancer Drugs Fund as an option for untreated PD-L1-positive metastatic non-small-cell lung cancer (NSCLC) in adults only if:
•their tumours express PD-L1 with at least a 50% tumour proportion score and have no epidermal growth factor receptor (EGFR)- or anaplastic lymphoma kinase (ALK)-positive mutations
•pembrolizumab is stopped at 2 years of uninterrupted treatment and no documented disease progression
•the conditions in the managed access agreement for pembrolizumab are followed"
724,TA449,2017/18,MTA,Everolimus,Pharmaceutical,Unresectable or metastatic neuroendocrine tumours in people with progressive disease,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
725,TA449,2017/18,MTA,Sunitinib,Pharmaceutical,Unresectable or metastatic neuroendocrine tumours in people with progressive disease,Recommended,Recommended in line with marketing authorisation.
726,TA450,2017/18,STA,Blinatumomab,Pharmaceutical,Previously treated Philadelphia-chromosome-negative acute lymphoblastic leukaemia,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
727,TA451,2017/18,STA,Ponatinib,Pharmaceutical,Chronic myeloid leukaemia and acute lymphoblastic leukaemia,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
728,TA452,2017/18,STA,Ibrutinib,Pharmaceutical,Untreated chronic lymphocytic leukaemia without a 17p deletion or TP53 mutation,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
729,TA453,2017/18,STA,Bortezomib,Pharmaceutical,Multiple myeloma after second or subsequent relapse,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
730,TA454,2017/18,STA,Daratumumab,Pharmaceutical,Relapsed or refractory multiple myeloma,Terminated Appraisal - non submission,The single technology appraisal process is based on the manufacturer’s submission. In the absence of a submission from the manufacturer the appraisal was terminated and a recommendation could not be made.
