nct_id,phase,start_date,enrollment_type,drug,official_title,brief_title,American Indian/ Alaska Native,Asian/ Asian Heritage,Black/ Black Heritage,Hawaiian/ Other Pacific Islander,Hispanic/ Latino,Middle Eastern,Mixed,Other,Unknown or Not Reported,White/ White Heritage
NCT00899431,Phase 2,06/05/2009,Actual,lenalidomide,Nonmyeloablative Stem Cell Transplantation With or Without Lenalidomide for Chronic Lymphocytic Leukemia (RV-CLL-PI-0294),Nonmyeloablative Stem Cell Transplantation for Chronic Lymphocytic Leukemia (CLL),0,2,12,0,,,0,,2,60
NCT00926380,Phase 2,30/06/2009,Actual,denosumab,The Denosumab And Teriparatide Administration Study (DATA),"Denosumab, Teriparatide or Both for the Treatment of Postmenopausal Osteoporosis",0,2,6,0,4,,0,,0,364
NCT00928434,Phase 3,31/05/2009,Actual,degarelix,"A Randomized, Controlled, Open-Label Study Investigating the Safety and Efficacy of Degarelix Given Intermittently vs Continuous Androgen Deprivation Therapy With Lupron or Degarelix in Patients With Prostate Cancer With Prior Treatment Failure After Localized Treatment",A Study of Degarelix in Patients With Prostate Cancer,20,8,316,0,140,,0,,4,2736
NCT00939510,Phase 1/Phase 2,31/07/2005,Actual,lenalidomide,Phase I/II Study of Lenalidomide (RevlimidTM ) and GM-CSF in Androgen Independent Prostate Cancer,Lenalidomide and GM-CSF in Treating Patients With Prostate Cancer,0,0,3,0,0,,0,,5,56
NCT00942578,Phase 2,16/07/2009,Actual,lenalidomide,"A Phase 2 Trial of Bevacizumab, Lenalidomide, Docetaxel, and Prednisone (ART-P) for Treatment of Metastatic Castrate-Resistant Prostate Cancer","A Phase 2 Trial of Bevacizumab, Lenalidomide, Docetaxel, and Prednisone (ART-P) for Treatment of Metastatic Castrate-Resistant Prostate Cancer",0,2,36,2,2,,0,,0,210
NCT00946920,Phase 3,30/06/2009,Actual,degarelix,"An Open-Label, Multi-Centre, Randomised, Parallel-Arm One-Year Trial, Comparing the Efficacy and Safety of Degarelix Three-Month Dosing Regimen With Goserelin Acetate in Patients With Prostate Cancer Requiring Androgen Deprivation Therapy",A Trial of Degarelix in Patients With Prostate Cancer,140,10,114,2,,,0,,0,1428
NCT00963105,Phase 2,19/10/2009,Actual,lenalidomide,"A Phase 2, Multi-Center, Randomized, Double-Blinded, Parallel Group Study of the Safety and Efficacy of Different Lenalidomide (REVLIMID®) Dose Regimens in Subjects With Relapsed or Refractory B-Cell Chronic Lymphocytic Leukemia",Study of Lenalidomide to Evaluate Safety and Efficacy in Patients With Relapsed or Refractory Chronic Lymphocytic Leukemia,,,16,,,,,2,2,188
NCT00966693,Phase 1/Phase 2,25/08/2009,Actual,lenalidomide,"Phase I/II Study of Lenalidomide (Revlimid), Thalidomide, and Dexamethasone in Patients With Relapsed/Refractory Multiple Myeloma","Lenalidomide, Thalidomide and Dexamethasone in Treating Participants With Relapsed or Refractory Multiple Myeloma",0,2,36,0,6,,0,,0,212
NCT00974311,Phase 3,30/09/2009,Actual,enzalutamide,"Affirm: A Multinational Phase 3, Randomized, Double-blind, Placebo-controlled Efficacy And Safety Study Of Oral Mdv3100 In Patients With Progressive Castration-resistant Prostate Cancer Previously Treated With Docetaxel Based Chemotherapy",Safety and Efficacy Study of MDV3100 in Patients With Castration-Resistant Prostate Cancer Who Have Been Previously Treated With Docetaxel-based Chemotherapy,4,26,94,2,110,,0,,50,4510
NCT00988208,Phase 3,11/11/2009,Actual,lenalidomide,A Phase 3 Study to Evaluate the Efficacy and Safety of Docetaxel and Prednisone With or Without Lenalidomide in Subjects With Castrate-Resistant Prostate Cancer (CRPC),Study to Evaluate Safety and Effectiveness of Lenalidomide in Combination With Docetaxel and Prednisone for Patients With Castrate-Resistant Prostate Cancer,16,28,92,,,,,,244,1738
NCT01002755,Phase 2,19/01/2010,Actual,lenalidomide,Combination of Lenalidomide and Ofatumumab in Patients With Previously Treated Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma (CLL/SLL),Lenalidomide and Ofatumumab in Treating Participants With Previously Treated Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma,0,0,3,0,,,0,,1,32
NCT01003769,Phase 1/Phase 2,09/07/2015,Actual,lenalidomide,A Phase I/II Clinical Trial of Lenalidomide in Combination With AT-101 for the Treatment of Relapsed B-Cell Chronic Lymphocytic Leukemia (B-CLL),Lenalidomide and AT-101 in Treating Patients With Relapsed B-Cell Chronic Lymphocytic Leukemia,0,0,0,0,0,,0,,1,9
NCT01011894,Phase 2,06/11/2009,Actual,lenalidomide,A Phase II Study of Lenalidomide in Patients With Chronic Lymphocytic Leukemia Older Than 65 Years of Age,Lenalidomide in Patients With Chronic Lymphocytic Leukemia Older Than 65 Years of Age,0,0,2,0,,,0,,0,24
NCT01021423,Phase 3,01/04/2010,Actual,lenalidomide,"A Phase 3 Multicenter, Randomized, Double-blind, Placebo-Controlled, First Line Maintenance Study Of Lenalidomide (Revlimid®) In Patients With Mantle-Cell Lymphoma",A Study to Evaluate the Efficacy of Lenalidomide as Maintenance Therapy After Completion of First-line Combination Chemotherapy in Patients With Mantle Cell Lymphoma (MCL).,0,0,0,0,,,0,,0,18
NCT01029262,Phase 3,26/01/2010,Actual,lenalidomide,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study To Compare The Efficacy And Safety of Lenalidomide (Revlimid®) Versus Placebo In Subjects With Transufsion-Dependent Anemia Due to IPSS Low Or Imtermidate-1 Risk Myelodysplastic Syndromes Without Deletion 5Q(31) And Unresponsive Or Refractory To Erthropoiesis-Stimulating Agents",A Study of Lenalidomide Versus Placebo in Subjects With Transfusion Dependent Anemia in Lower Risk Myelodysplastic Syndrome (MDS) Without Del 5q,,28,4,,,,,4,38,404
NCT01034592,Phase 1,30/11/2009,Actual,lenalidomide,A Pilot Study of Lenalidomide in Adult Diamond-Blackfan Anemia Patients With Red Blood Cell Transfusion-Dependent Anemia,Pilot Lenalidomide in Adult Diamond-Blackfan Anemia Patients w/ RBC Transfusion-Dependent Anemia,0,0,0,0,0,,0,,0,4
NCT01038635,Phase 1/Phase 2,31/12/2009,Actual,lenalidomide,Phase I/II Study of the Combination of 5-azacitidine With Lenalidomide in Patients With High Risk Myelodysplastic Syndrome (MDS) and Acute Myelogenous Leukemia (AML),5-Azacytidine With Lenalidomide in Patients With High Risk Myelodysplastic Syndrome (MDS) and Acute Myelogenous Leukemia (AML),0,0,12,0,8,,0,,16,316
NCT01054144,Phase 2,14/01/2010,Actual,lenalidomide,"Phase II Study of Response Adapted Therapy Using Single Agent Lenalidomide in Older Adults With Newly Diagnosed, Standard Risk Multiple Myeloma",Study of Single Agent Lenalidomide in Older Adults With Newly Diagnosed Multiple Myeloma,0,0,2,0,2,,0,,0,50
NCT01057121,Phase 1/Phase 2,27/08/2010,Actual,lenalidomide,A Phase I/II Study of Lenalidomide in Patients With AIDS-Associated Kaposi's Sarcoma,Lenalidomide in Treating Patients With AIDS-Associated Kaposi's Sarcoma,0,2,12,4,16,,4,,4,110
NCT01057225,Phase 1/Phase 2,31/03/2010,Actual,carfilzomib,"A Phase I/II Trial of Cyclophosphamide, Carfilzomib, Thalidomide and Dexamethasone (CYCLONE) in Patients With Newly Diagnosed Active Multiple Myeloma","Cyclophosphamide, Carfilzomib, Thalidomide, and Dexamethasone in Treating Patients With Newly Diagnosed Active Multiple Myeloma",0,1,4,0,,,0,,5,54
NCT01060384,Phase 1/Phase 2,31/03/2010,Actual,lenalidomide,Phase I/II Study of Lenalidomide and Ofatumumab for the Treatment of Relapsed or Refractory Non-Hodgkin's Lymphoma,Study of Lenalidomide and Ofatumumab for the Treatment of Relapsed or Refractory Non-Hodgkin's Lymphoma,,,,,0,,,,0,46
NCT01075321,Phase 1/Phase 2,10/01/2011,Actual,lenalidomide,A Phase I/II Clinical Trial of the mTor Inhibitor RAD001 (Everolimus) in Combination With Lenalidomide (Revlimid) for Patients With Relapsed or Refractory Lymphoid Malignancy,Everolimus and Lenalidomide in Treating Patients With Relapsed or Refractory Non-Hodgkin or Hodgkin Lymphoma,0,0,0,0,,,1,,0,54
NCT01076543,Phase 1/Phase 2,15/04/2010,Actual,lenalidomide,Phase I/II Investigation of Temsirolimus Plus Lenalidomide in Relapsed Non-Hodgkin Lymphomas,Lenalidomide and Temsirolimus in Treating Patients With Relapsed or Refractory Hodgkin Lymphoma or Non-Hodgkin Lymphoma,2,6,28,0,,,0,,8,176
NCT01077154,Phase 3,02/06/2010,Actual,denosumab,"A Randomized, Double-Blind, Placebo-Controlled, Multi-Center Phase 3 Study of Denosumab as Adjuvant Treatment for Women With Early-Stage Breast Cancer at High Risk of Recurrence (D-CARE)",Study of Denosumab as Adjuvant Treatment for Women With High Risk Early Breast Cancer Receiving Neoadjuvant or Adjuvant Therapy (D-CARE),2,1408,288,14,494,,,76,,6736
NCT01080391,Phase 3,14/07/2010,Actual,carfilzomib,"A Randomized, Multicenter, Phase 3 Study Comparing Carfilzomib, Lenalidomide, and Dexamethasone (CRd) vs Lenalidomide and Dexamethasone (Rd) in Subjects With Relapsed Multiple Myeloma","Study Comparing Carfilzomib, Lenalidomide, and Dexamethasone (CRd) vs Lenalidomide and Dexamethasone (Rd) in Subjects With Relapsed Multiple Myeloma",2,,46,,,,8,20,,1508
NCT01080391,Phase 3,14/07/2010,Actual,lenalidomide,"A Randomized, Multicenter, Phase 3 Study Comparing Carfilzomib, Lenalidomide, and Dexamethasone (CRd) vs Lenalidomide and Dexamethasone (Rd) in Subjects With Relapsed Multiple Myeloma","Study Comparing Carfilzomib, Lenalidomide, and Dexamethasone (CRd) vs Lenalidomide and Dexamethasone (Rd) in Subjects With Relapsed Multiple Myeloma",2,,46,,,,8,20,,1508
NCT01088048,Phase 1,25/03/2010,Actual,lenalidomide,"A Phase I Study to Investigate the Safety and Clinical Activity of Idelalisib in Combination With Chemotherapeutic Agents, Immunomodulatory Agents and Anti-CD20 mAb in Subjects With Relapsed or Refractory Indolent B-cell Non-Hodgkin Lymphoma, Mantle Cell Lymphoma or Chronic Lymphocytic Leukemia","Study to Investigate Idelalisib in Combination With Chemotherapeutic Agents, Immunomodulatory Agents and Anti-CD20 Monoclonal Antibody (mAb) in Participants With Relapsed or Refractory Indolent B-cell Non-Hodgkin's Lymphoma, Mantle Cell Lymphoma or Chronic Lymphocytic Leukemia",,22,18,,8,,,2,28,886
NCT01109004,Phase 3,31/05/2010,Actual,lenalidomide,A Trial of Single Autologous Transplant With or Without Consolidation Therapy Versus Tandem Autologous Transplant With Lenalidomide Maintenance for Patients With Multiple Myeloma (BMT CTN 0702),Stem Cell Transplant With Lenalidomide Maintenance in Patients With Multiple Myeloma (BMT CTN 0702),,,520,,,,,,228,2284
NCT01121757,Phase 2,30/04/2010,Actual,lenalidomide,A Phase 2 Study Evaluating the Efficacy of Epigenetic Modulation in Relapsed/Refractory Follicular Lymphoma and Marginal Zone Lymphoma,Epigenetic Modulation in Relapsed/Refractory Follicular Lymphoma and Marginal Zone Lymphoma,0,0,0,0,0,,0,,0,36
NCT01123356,Phase 2,31/05/2010,Actual,lenalidomide,Phase 2 Trial of Intracycle Sequential Ofatumumab and Lenalidomide for the Treatment of Chronic Lymphocytic Leukemia in Patients Previously Exposed to Rituximab,Treatment of Chronic Lymphocytic Leukemia in Patients Previously Exposed to Rituximab,0,0,4,0,4,,0,,0,34
NCT01125176,Phase 2,30/03/2012,Actual,lenalidomide,A Phase II Study of Daily Alternating Thalidomide and Lenalidomide Therapy Plus Rituximab (ThRiL) as Initial Treatment for Patients With CLL,Alternating Thalidomide and Lenalidomide Therapy Plus Rituximab (ThRiL) as Initial Treatment for Patients With CLL,0,0,0,0,0,,0,,0,28
NCT01155583,Phase 1/Phase 2,30/06/2010,Actual,lenalidomide,A Phase I/II Trial Of Very Low to Low-Doses of Continuous Azacitidine in Combination With Standard Doses of Lenalidomide and Low-Dose Dexamethasone in Patients With Relapsed or Refractory Multiple Myeloma,"Low-Dose Azacitidine, Lenalidomide, and Low-Dose Dexamethasone in Relapsed or Refractory Multiple Myeloma",0,0,8,0,0,,0,,10,158
NCT01169337,Phase 3,24/01/2011,Actual,lenalidomide,Randomized Phase III Trial of Lenalidomide Versus Observation Alone in Patients With Asymptomatic High-Risk Smoldering Multiple Myeloma,Lenalidomide or Observation in Treating Patients With Asymptomatic High-Risk Smoldering Multiple Myeloma,0,4,74,0,12,,0,,50,764
NCT01178814,Phase 2,31/07/2010,Actual,lenalidomide,A Prospective Trial of Revlimid® in Transfusion Dependent Patients With Non-del (5q) Low/Intermediate-1 Risk Myelodysplastic Syndrome,Revlimid in Transfusion Dependent Patients,0,0,3,0,2,,0,,53,56
NCT01197560,Phase 2/Phase 3,02/09/2010,Actual,lenalidomide,"A Phase 2/3, Multicenter, Randomized, Open-label Study to Compare the Efficacy and Safety of Lenalidomide (Revlimid ®) Versus Investigator's Choice in Patients With Relapsed or Refractory Diffuse Large B-cell Lymphoma",Study of Lenalidomide to Evaluate Safety and Effectiveness in Patients With Diffuse Large B-Cell Lymphoma (DLBCL),,4,2,,,,,10,40,148
NCT01199575,Phase 2,31/08/2010,Actual,lenalidomide,"A Phase II Trial of Revlimid® and Rituximab, for the Treatment of Patients With Relapsed or Refractory Chronic Lymphocytic Leukemia (CLL)",Phase II Trial of Revlimid® and Rituximab for Relapsed or Refractory Chronic Lymphocytic Leukemia (CLL),0,0,0,0,,,0,,0,30
NCT01208051,Phase 1/Phase 2,09/09/2010,Actual,lenalidomide,Phase I/II Trial of Cediranib Alone or Cediranib and Lenalidomide in Iodine 131-Refractory Differentiated Thyroid Cancer,Cediranib Maleate With or Without Lenalidomide for the Treatment of Thyroid Cancer,2,16,14,0,,,2,,6,206
NCT01216683,Phase 2,13/12/2010,Actual,lenalidomide,A 3-Arm Randomized Phase II Trial of Bendamustine-Rituximab (BR) Followed by Rituximab vs Bortezomib-BR (BVR) Followed by Rituximab vs BR Followed by Lenalidomide/Rituximab in High Risk Follicular Lymphoma,"Bendamustine Hydrochloride and Rituximab With or Without Bortezomib Followed by Rituximab With or Without Lenalidomide in Treating Patients With High-Risk Stage II, Stage III, or Stage IV Follicular Lymphoma",2,10,22,0,18,,0,,26,954
NCT01218555,Phase 1,09/09/2010,Actual,lenalidomide,Phase I Study of Everolimus (RAD001) in Combination With Lenalidomide in Patients With Advanced Solid Malignancies Enriched for Renal Cell Carcinoma,Study of Everolimus (RAD001) in Combination With Lenalidomide,0,4,8,0,3,,0,,1,72
NCT01221727,Phase 1,30/11/2010,Actual,denosumab,"The Effects of Denosumab on the Pharmacokinetics (PK) of Midazolam, a Cytochrome P450 3A4/P-gp (CYP3A4) Substrate, in Postmenopausal Osteoporotic Women",The Effects of Denosumab on the Pharmacokinetics (PK) of Midazolam,0,4,4,0,22,,0,,0,78
NCT01239797,Phase 3,20/06/2011,Actual,lenalidomide,"Phase 3, Randomized, Open Label Trial of Lenalidomide/Dexamethasone With or Without Elotuzumab in Relapsed or Refractory Multiple Myeloma (MM)",Phase III Study of Lenalidomide and Dexamethasone With or Without Elotuzumab to Treat Relapsed or Refractory Multiple Myeloma,0,128,46,2,12,,,26,1160,1210
NCT01241786,Phase 2,31/07/2010,Actual,lenalidomide,"A Phase II, Single Arm Study Examining the Combination of Revlimid (Lenalidomide) and Vidaza (Azacitidine) (RA-CLL) for the Treatment of Relapsed/Refractory Chronic Lymphocytic Leukemia (CLL) and Small Lymphocytic Lymphoma (SLL)",Study Examining the Combination of Revlimid (Lenalidomide)and Vidaza (Azacitidine) for Relapsed/Refractory CLL and SLL,0,0,0,0,1,,0,,1,8
NCT01242748,Phase 3,31/10/2010,Actual,degarelix,"An Open-label, Multi-Centre, Extension Trial, Evaluating the Long-Term Progression-Free Survival of Degarelix or Goserelin Three-Month Dosing Regimens in Patients With Prostate Cancer Requiring Androgen Deprivation Therapy",A Degarelix Trial in Patients With Prostate Cancer,110,2,20,0,,,0,,0,444
NCT01246063,Phase 1/Phase 2,14/05/2012,Actual,carfilzomib,"A Phase I/II Trial of Carfilzomib, Pegylated Liposomal Doxorubicin, and Dexamethasone for the Treatment of Relapsed/Refractory Multiple Myeloma","Carfilzomib, Pegylated Liposomal Doxorubicin Hydrochloride, and Dexamethasone in Treating Patients With Relapsed or Refractory Multiple Myeloma",0,0,18,0,0,,0,,8,134
NCT01288911,Phase 2,22/03/2011,Actual,enzalutamide,"A Randomized, Double-Blind, Phase II, Efficacy and Safety Study of MDV3100 Versus Bicalutamide in Castrate Men With Metastatic Prostate Cancer",A Study of Enzalutamide Versus Bicalutamide in Castrate Men With Metastatic Prostate Cancer,,,,,8,,,,,742
NCT01303965,Phase 1/Phase 2,07/02/2011,Actual,lenalidomide,Phase I/II Trial of Allogeneic Peripheral Blood Stem Cell Transplantation Followed by Maintenance Therapy With Lenalidomide and Sirolimus in Patients With High-Risk Multiple Myeloma,Allo Transplant Followed by Lenalidomide and Sirolimus Maintenance in High-Risk Multiple Myeloma (MM),0,2,0,0,0,,0,,0,54
NCT01335399,Phase 3,04/08/2011,Actual,lenalidomide,"A Phase 3, Randomized, Open Label Trial of Lenalidomide/Dexamethasone With or Without Elotuzumab in Subjects With Previously Untreated Multiple Myeloma","Phase III Study of Lenalidomide and Dexamethasone With or Without Elotuzumab to Treat Newly Diagnosed, Previously Untreated Multiple Myeloma",0,10,58,2,34,,0,,1152,1736
NCT01349569,Phase 2,31/01/2012,Actual,lenalidomide,Administration of an Allogeneic Myeloma GM-CSF Vaccine in Conjunction With a Lenalidomide Containing Regimen in Myeloma Patients With Near Complete Remission,Allogeneic GM-CSF Vaccine and Lenalidomide in Treating Myeloma Patients With Near Complete Remission,0,1,3,0,,,0,,1,11
NCT01351623,Phase 2,09/05/2011,Actual,carfilzomib,Phase II Study of Infusional Carfilzomib in Patients With Relapsed or Refractory Multiple Myeloma,Infusional Carfilzomib in Patients With Relapsed or Refractory Multiple Myeloma,0,2,18,0,9,,0,,2,57
NCT01375140,Phase 2,22/09/2011,Actual,lenalidomide,Evaluation of Ruxolitinib and Lenalidomide Combination as a Therapy for Patients With Myelofibrosis,Ruxolitinib and Lenalidomide for Patients With Myelofibrosis,0,1,3,0,,,0,,0,27
NCT01377389,Phase 2,17/06/2011,Actual,degarelix,A Phase II Study of Ipilimumab PLUS Androgen Depravation Therapy in Castrate Sensitive Prostate Carcinoma,Ipilimumab + Androgen Depravation Therapy in Prostate Cancer,0,0,1,0,,,0,,0,29
NCT01383928,Phase 1/Phase 2,31/10/2011,Actual,lenalidomide,"An Open-Label, Dose-Escalation, Phase 1/2 Study of the Oral Formulation of IXAZOMIB (MLN9708), Administered Twice-weekly in Combination With Lenalidomide and Dexamethasone in Patients With Newly Diagnosed Multiple Myeloma Requiring Systemic Treatment",Study of Oral IXAZOMIB in Combination With Lenalidomide and Dexamethasone in Participants With Newly Diagnosed Multiple Myeloma,,,16,,2,,,2,4,232
NCT01402284,Phase 2,21/07/2011,Actual,carfilzomib,"Carfilzomib, Lenalidomide, and Dexamethasone in Newly Diagnosed Multiple Myeloma: Clinical and Correlative Phase II Study","Carfilzomib, Lenalidomide, and Dexamethasone in New Multiple Myeloma Patients",0,2,6,0,0,,0,,0,82
NCT01402284,Phase 2,21/07/2011,Actual,lenalidomide,"Carfilzomib, Lenalidomide, and Dexamethasone in Newly Diagnosed Multiple Myeloma: Clinical and Correlative Phase II Study","Carfilzomib, Lenalidomide, and Dexamethasone in New Multiple Myeloma Patients",0,6,18,0,0,,0,,0,246
NCT01419717,Phase 3,22/11/2011,Actual,denosumab,Open-Label Access Protocol of Denosumab for Subjects With Advanced Cancer,Open-Label Access Protocol of Denosumab for Subjects With Advanced Cancer,,15,6,,28,,,4,1,204
NCT01419795,Phase 2,31/05/2012,Actual,lenalidomide,A Phase II Study Investigating Treatment of Post-Allogeneic Transplant Progression or Relapse of CLL/SLL/PLL or NHL With Lenalidomide Alone or With Rituximab,"Lenalidomide With or Without Rituximab in Treating Patients With Progressive or Relapsed Chronic Lymphocytic Leukemia, Small Lymphocytic Lymphoma, Prolymphocytic Leukemia, or Non-Hodgkin Lymphoma Previously Treated With Donor Stem Cell Transplant",0,0,0,0,0,,0,,6,6
NCT01421186,Phase 1/Phase 2,31/07/2011,Actual,lenalidomide,"A Phase 1/2a, Open-Label, Multicentre, Dose-Escalation Study to Evaluate the Safety and Preliminary Efficacy of the Human Anti-CD 38 Antibody MOR03087 as Monotherapy and in Combination With Standard Therapy in Subjects With Relapsed/Refractory Multiple Myeloma",A Phase 1/2a Study of Human Anti-CD 38 Antibody MOR03087 (MOR202) in Relapsed/Refractory Multiple Myeloma,0,0,0,0,,,0,,0,182
NCT01442714,Phase 2,31/08/2011,Actual,lenalidomide,Azacitidine Plus Lenalidomide Combination in Elderly Patients With Previously Treated Acute Myeloid Leukemia (AML) & High-Risk Myelodysplastic Syndromes (MDS) (VIREL2 Trial),Azacitidine + Lenalidomide Combo in the Elderly With Previously Treated AML & High-Risk MDS,0,1,2,0,,,0,,2,28
NCT01463670,Phase 2,28/10/2011,Actual,lenalidomide,A Phase II Clinical Trial of Lenalidomide Intensification in Patients With Serologic/Asymptomatic Progression of Multiple Myeloma While on Lenalidomide Maintenance,Lenalidomide Intensification in Patients With Serologic/Asymptomatic Progression of Multiple Myeloma While on Lenalidomide Maintenance,0,0,2,0,2,,0,,3,15
NCT01496118,Phase 1/Phase 2,31/12/2011,Actual,carfilzomib,Phase I/II Study of the Combination of Panobinostat and Carfilzomib in Patients With Relapsed/Refractory Multiple Myeloma,Study of the Combination of Panobinostat and Carfilzomib in Patients With Relapsed/Refractory Multiple Myeloma,0,2,22,0,8,,0,,20,268
NCT01496976,Phase 2,30/03/2012,Actual,lenalidomide,Phase II Study of Ofatumumab in Combination With High Dose Methylprednisolone Followed by Ofatumumab and Lenalidomide Consolidative Therapy for the Treatment of Untreated CLL/SLL The HiLOG Trial,"Ofatumumab, High Dose Methylprednisolone, Ofatumumab and Lenalidomide Consolidative Therapy for Untreated CLL/SLL",0,0,0,0,0,,0,,1,89
NCT01497496,Phase 2,26/01/2012,Actual,lenalidomide,Phase II Study of Ofatumumab in Combination With High Dose Methylprednisolone Followed by Ofatumumab and Lenalidomide Consolidative Therapy for the Treatment of Relapsed or Refractory CLL/SLL The HiLOG Trial,Ofatumumab/Methylprednisolone and Ofatumumab/Lenalidomide for Relapsed/Refractory Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (CLL/SLL),0,0,0,0,2,,0,,4,52
NCT01522976,Phase 2,01/03/2012,Actual,lenalidomide,A Randomized Phase II/III Study of Azacitidine in Combination With Lenalidomide (NSC-703813) vs. Azacitidine Alone vs. Azacitidine in Combination With Vorinostat (NSC-701852) for Higher-Risk Myelodysplastic Syndromes (MDS) and Chronic Myelomonocytic Leukemia (CMML),Azacitidine With or Without Lenalidomide or Vorinostat in Treating Patients With Higher-Risk Myelodysplastic Syndromes or Chronic Myelomonocytic Leukemia,4,14,18,2,,,0,,18,498
NCT01534052,Phase 2,21/10/2011,Actual,enzalutamide,A Phase 2 Open-label Extension Study to Assess the Safety of Continued Administration of MDV3100 in Subjects With Prostate Cancer Who Showed Benefit From Prior Exposure to MDV3100,A Study to Assess the Safety of Continued Administration of MDV3100 in Subjects With Prostate Cancer Who Showed Benefit From Prior Exposure to MDV3100,0,0,2,0,0,,0,,3,99
NCT01553149,Phase 2,19/03/2012,Actual,lenalidomide,"A Phase II Randomized Trial of Lenalidomide (NSC # 703813) in Pediatric Patients With Recurrent, Refractory or Progressive Juvenile Pilocytic Astrocytomas and Optic Pathway Gliomas","Low-Dose or High-Dose Lenalidomide in Treating Younger Patients With Recurrent, Refractory, or Progressive Pilocytic Astrocytoma or Optic Pathway Glioma",0,2,10,0,10,,0,,20,258
NCT01559935,Phase 2,31/03/2012,Actual,carfilzomib,"A Phase II Study of Sequential Carfilzomib, Clarithromycin (Biaxin®), Lenalidomide (Revlimid®), and Dexamethasone (Decadron®) [Car-BiRD] Therapy for Subjects With Newly Diagnosed Multiple Myeloma","Carfilzomib, Clarithromycin (Biaxin®), Lenalidomide (Revlimid®), and Dexamethasone (Decadron®) [Car-BiRD] Therapy for Subjects With Multiple Myeloma",0,0,12,0,8,,16,,107,225
NCT01559935,Phase 2,31/03/2012,Actual,lenalidomide,"A Phase II Study of Sequential Carfilzomib, Clarithromycin (Biaxin®), Lenalidomide (Revlimid®), and Dexamethasone (Decadron®) [Car-BiRD] Therapy for Subjects With Newly Diagnosed Multiple Myeloma","Carfilzomib, Clarithromycin (Biaxin®), Lenalidomide (Revlimid®), and Dexamethasone (Decadron®) [Car-BiRD] Therapy for Subjects With Multiple Myeloma",0,0,24,0,16,,32,,214,450
NCT01565928,Phase 1,24/01/2012,Actual,enzalutamide,"A PHASE 1B, OPEN-LABEL, SAFETY AND TOLERABILITY STUDY OF ORAL MDV3100 IN COMBINATION WITH DOCETAXEL IN MEN WITH ADVANCED PROSTATE CANCER",Safety and Tolerability Study of MDV3100 in Combination With Docetaxel in Men With Advanced Prostate Cancer,0,0,3,0,0,,0,,0,41
NCT01568866,Phase 3,20/06/2012,Actual,carfilzomib,"A Randomized, Open-label, Phase 3 Study of Carfilzomib Plus Dexamethasone vs. Bortezomib Plus Dexamethasone in Patients With Relapsed Multiple Myeloma",Phase 3 Study With Carfilzomib and Dexamethasone Versus Bortezomib and Dexamethasone for Relapsed Multiple Myeloma Patients,,226,34,4,,,2,,190,1402
NCT01572480,Phase 2,29/05/2012,Actual,carfilzomib,"Carfilzomib, Lenalidomide, and Dexamethasone in High-Risk Smoldering Multiple Myeloma: a Clinical and Correlative Pilot Study","Carfilzomib, Lenalidomide, and Dexamethasone for Smoldering Multiple Myeloma",0,1,15,0,2,,0,,1,91
NCT01572480,Phase 2,29/05/2012,Actual,lenalidomide,"Carfilzomib, Lenalidomide, and Dexamethasone in High-Risk Smoldering Multiple Myeloma: a Clinical and Correlative Pilot Study","Carfilzomib, Lenalidomide, and Dexamethasone for Smoldering Multiple Myeloma",0,1,15,0,2,,0,,1,91
NCT01575860,Phase 1/Phase 2,30/04/2012,Actual,lenalidomide,Maintenance Lenalidomide Therapy After Autologous Stem Cell Transplant in Patients With High Risk Relapsed/Refractory Lymphomas,Maintenance Lenalidomide in Lymphoma,0,0,0,0,0,,0,,0,12
NCT01592370,Phase 1/Phase 2,02/08/2012,Actual,daratumumab,Multiple Phase 1/2 Cohorts of Nivolumab Monotherapy or Nivolumab Combination Regimens Across Relapsed/Refractory Hematologic Malignancies,An Investigational Immuno-Therapy Study to Determine the Safety and Effectiveness of Nivolumab and Daratumumab in Patients With Multiple Myeloma,0,6,52,2,40,,0,,60,1104
NCT01668719,Phase 1/Phase 2,30/11/2012,Actual,lenalidomide,"A Randomized Phase I/II Study of Optimal Induction Therapy of Bortezomib, Dexamethasone and Lenalidomide With or Without Elotuzumab (NSC-764479) for Newly Diagnosed High Risk Multiple Myeloma (HRMM)","S1211 Bortezomib, Dexamethasone, and Lenalidomide With or Without Elotuzumab in Treating Patients With Newly Diagnosed High-Risk Multiple Myeloma",0,0,30,0,6,,0,,16,372
NCT01675141,Phase 2,20/08/2012,Actual,lenalidomide,Lenalidomide Maintenance Therapy in Multiple Myeloma: A Phase II Clinical and Biomarker Study,Lenalidomide Maintenance Therapy for Multiple Myeloma,2,0,2,0,,,1,,1,5
NCT01677858,Phase 1/Phase 2,04/07/2012,Actual,carfilzomib,A Phase 1/2 Study of Weekly Carfilzomib in Combination With Dexamethasone for Progressive Multiple Myeloma,A Study of Weekly Carfilzomib in Combination With Dexamethasone for Progressive Multiple Myeloma,,,,,22,,,,0,210
